,console,units_sold,week_of
0,PS3,86742,11/6/2006
1,PS3,205065,11/13/2006
2,PS3,103130,11/20/2006
3,PS3,129750,11/27/2006
4,PS3,162737,12/4/2006
5,PS3,200001,12/11/2006
6,PS3,190595,12/18/2006
7,PS3,174020,12/25/2006
8,PS3,136611,1/1/2007
9,PS3,89482,1/8/2007
10,PS3,79783,1/15/2007
11,PS3,74220,1/22/2007
12,PS3,70671,1/29/2007
13,PS3,66849,2/5/2007
14,PS3,53197,2/12/2007
15,PS3,49869,2/19/2007
16,PS3,80401,2/26/2007
17,PS3,79434,3/5/2007
18,PS3,58436,3/12/2007
19,PS3,603976,3/19/2007
20,PS3,162406,3/26/2007
21,PS3,118003,4/2/2007
22,PS3,96957,4/9/2007
23,PS3,83133,4/16/2007
24,PS3,78345,4/23/2007
25,PS3,80550,4/30/2007
26,PS3,70401,5/7/2007
27,PS3,65132,5/14/2007
28,PS3,64512,5/21/2007
29,PS3,63274,5/28/2007
30,PS3,59292,6/4/2007
31,PS3,60022,6/11/2007
32,PS3,58304,6/18/2007
33,PS3,60913,6/25/2007
34,PS3,63505,7/2/2007
35,PS3,96644,7/9/2007
36,PS3,90710,7/16/2007
37,PS3,116894,7/23/2007
38,PS3,107626,7/30/2007
39,PS3,99663,8/6/2007
40,PS3,102078,8/13/2007
41,PS3,92527,8/20/2007
42,PS3,100194,8/27/2007
43,PS3,99852,9/3/2007
44,PS3,77846,9/10/2007
45,PS3,73382,9/17/2007
46,PS3,86273,9/24/2007
47,PS3,84503,10/1/2007
48,PS3,157901,10/8/2007
49,PS3,160822,10/15/2007
50,PS3,166324,10/22/2007
51,PS3,164681,10/29/2007
52,PS3,236409,11/5/2007
53,PS3,257304,11/12/2007
54,PS3,380441,11/19/2007
55,PS3,400190,11/26/2007
56,PS3,483939,12/3/2007
57,PS3,585839,12/10/2007
58,PS3,657716,12/17/2007
59,PS3,417445,12/24/2007
60,PS3,266879,12/31/2007
61,PS3,178821,1/7/2008
62,PS3,166017,1/14/2008
63,PS3,170787,1/21/2008
64,PS3,180693,1/28/2008
65,PS3,168537,2/4/2008
66,PS3,159769,2/11/2008
67,PS3,167193,2/18/2008
68,PS3,177325,2/25/2008
69,PS3,151858,3/3/2008
70,PS3,140768,3/10/2008
71,PS3,175009,3/17/2008
72,PS3,184400,3/24/2008
73,PS3,169287,3/31/2008
74,PS3,139234,4/7/2008
75,PS3,137184,4/14/2008
76,PS3,133374,4/21/2008
77,PS3,239942,4/28/2008
78,PS3,158892,5/5/2008
79,PS3,135416,5/12/2008
80,PS3,127085,5/19/2008
81,PS3,126396,5/26/2008
82,PS3,129132,6/2/2008
83,PS3,309807,6/9/2008
84,PS3,172197,6/16/2008
85,PS3,155048,6/23/2008
86,PS3,146307,6/30/2008
87,PS3,151246,7/7/2008
88,PS3,133476,7/14/2008
89,PS3,91448,7/21/2008
90,PS3,101586,7/28/2008
91,PS3,109614,8/4/2008
92,PS3,112203,8/11/2008
93,PS3,155467,8/18/2008
94,PS3,167985,8/25/2008
